"","velocidad_recomendada","severidad","fatales","festivos","iluminación","lesiones_menores","carretera","lesiones_graves","limite_velocidad","clima"
"571301",35,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"571303",55,"Accidente grave",0,"Navidad y Año Nuevo","Nublado",0,"Asfalto",1,100,"Lluvia ligera"
"571323",45,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,50,"Lluvia ligera"
"571337",35,"Accidente leve",0,"Pascua","Oscuro",3,"Asfalto",0,100,"Buen clima"
"571387",75,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"571410",25,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,50,"Niebla"
"571446",85,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia intensa"
"571457",75,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"571481",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,80,"Buen clima"
"571502",45,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"571546",75,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Buen clima"
"571550",65,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"571587",65,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"571596",65,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"571613",75,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,80,"Buen clima"
"571616",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Niebla"
"571626",35,"Accidente grave",0,"No festivo","Nublado",0,"Asfalto",1,60,"Buen clima"
"571645",75,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"571678",45,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"571685",85,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"571691",35,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"571741",55,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia intensa"
"571776",45,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"571778",65,"Accidente sin lesiones",0,"Navidad y Año Nuevo","Nublado",0,"Asfalto",0,100,"Niebla"
"571812",75,"Accidente leve",0,"Navidad y Año Nuevo","Oscuro",2,"Asfalto",0,100,"Buen clima"
"571822",45,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"571830",35,"Accidente grave",0,"Navidad y Año Nuevo","Amanecer o atardecer",0,"Asfalto",1,50,"Buen clima"
"571862",75,"Accidente sin lesiones",0,"No festivo","Amanecer o atardecer",0,"Asfalto",0,100,"Buen clima"
"571866",65,"Accidente sin lesiones",0,"No festivo","Amanecer o atardecer",0,"Asfalto",0,100,"Buen clima"
"571899",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"571918",55,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"571921",35,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,80,"Lluvia ligera"
"571922",15,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,80,"Buen clima"
"571950",65,"Accidente sin lesiones",0,"Fin de semana del Trabajo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"571964",75,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Lluvia ligera"
"571969",35,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,50,"Buen clima"
"572033",65,"Accidente grave",0,"No festivo","Amanecer o atardecer",0,"Asfalto",1,100,"Lluvia ligera"
"572090",75,"Accidente fatal",1,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"572102",75,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"572107",75,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"572202",55,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"572250",25,"Accidente sin lesiones",0,"Navidad y Año Nuevo","Soleado",0,"Asfalto",0,50,"Buen clima"
"572254",55,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"572265",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,80,"Lluvia ligera"
"572269",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"572328",45,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia intensa"
"572364",45,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"572381",75,"Accidente grave",0,"No festivo","Oscuro",0,"Asfalto",1,100,"Buen clima"
"572391",45,"Accidente fatal",1,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"572392",65,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia intensa"
"572414",85,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"572430",65,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Buen clima"
"572446",35,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia intensa"
"572461",45,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,50,"Lluvia ligera"
"572486",65,"Accidente grave",0,"Navidad y Año Nuevo","Amanecer o atardecer",0,"Asfalto",1,100,"Buen clima"
"572506",75,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"572516",65,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"572623",55,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,80,"Buen clima"
"572640",85,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"572652",35,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia intensa"
"572655",65,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,80,"Buen clima"
"572686",45,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"572699",45,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"572721",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,70,"Buen clima"
"572793",65,"Accidente grave",0,"No festivo","Oscuro",0,"Asfalto",1,80,"Buen clima"
"572878",35,"Accidente grave",0,"No festivo","Nublado",1,"Asfalto",2,100,"Lluvia ligera"
"572994",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"573006",45,"Accidente grave",0,"No festivo","Nublado",0,"Asfalto",2,100,"Lluvia ligera"
"573014",30,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"573053",65,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"573071",75,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Nieve"
"573137",35,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,80,"Lluvia ligera"
"573157",35,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,80,"Buen clima"
"573159",75,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"573244",65,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"573246",75,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Buen clima"
"573278",75,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,80,"Buen clima"
"573280",35,"Accidente sin lesiones",0,"Cumpleaños de la Reina","Nublado",0,"Asfalto",0,100,"Buen clima"
"573292",65,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"573315",75,"Accidente grave",0,"No festivo","Soleado",0,"Asfalto",1,100,"Buen clima"
"573365",55,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,70,"Lluvia ligera"
"573368",65,"Accidente leve",0,"No festivo","Nublado",2,"Asfalto",0,100,"Lluvia ligera"
"573441",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"573453",45,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"573455",45,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"573479",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,80,"Lluvia ligera"
"573482",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"573485",35,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Lluvia ligera"
"573514",25,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"573516",85,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Buen clima"
"573567",55,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Lluvia ligera"
"573587",55,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Niebla"
"573610",35,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"573614",65,"Accidente leve",0,"Navidad y Año Nuevo","Soleado",2,"Asfalto",0,100,"Buen clima"
"573640",35,"Accidente grave",0,"No festivo","Soleado",0,"Asfalto",1,100,"Buen clima"
"573710",65,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Lluvia ligera"
"573780",35,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"573876",45,"Accidente leve",0,"No festivo","Oscuro",2,"Asfalto",0,100,"Lluvia ligera"
"573975",45,"Accidente sin lesiones",0,"No festivo","Amanecer o atardecer",0,"Asfalto",0,50,"Buen clima"
"574034",65,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"574051",75,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Buen clima"
"574070",45,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"574094",35,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"574139",45,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,60,"Buen clima"
"574182",55,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Niebla"
"574222",85,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"574239",55,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,80,"Buen clima"
"574252",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"574286",65,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"574299",45,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"574329",25,"Accidente leve",0,"No festivo","Soleado",1,"Sin Asfalto",0,50,"Buen clima"
"574330",45,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,50,"Buen clima"
"574361",55,"Accidente leve",0,"No festivo","Nublado",2,"Asfalto",0,100,"Buen clima"
"574421",45,"Accidente leve",0,"No festivo","Soleado",2,"Asfalto",0,100,"Buen clima"
"574424",65,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,80,"Lluvia intensa"
"574437",65,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"574439",25,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,80,"Buen clima"
"574450",65,"Accidente sin lesiones",0,"Fin de semana del Trabajo","Soleado",0,"Asfalto",0,100,"Buen clima"
"574458",85,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Niebla"
"574501",65,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia intensa"
"574554",45,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"574556",25,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Sin Asfalto",0,100,"Lluvia ligera"
"574559",95,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"574567",35,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"574569",35,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,70,"Lluvia ligera"
"574578",35,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,50,"Niebla"
"574591",45,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"574622",85,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"574678",45,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,70,"Buen clima"
"574719",55,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,80,"Buen clima"
"574722",55,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,80,"Lluvia ligera"
"574793",65,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"574820",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"574829",65,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"574844",45,"Accidente grave",0,"No festivo","Soleado",0,"Asfalto",1,100,"Buen clima"
"574883",55,"Accidente fatal",1,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"574905",35,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"574911",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"574921",70,"Accidente sin lesiones",0,"No festivo","Amanecer o atardecer",0,"Asfalto",0,100,"Buen clima"
"574954",75,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Buen clima"
"574957",55,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"575000",65,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Lluvia ligera"
"575045",45,"Accidente leve",0,"No festivo","Soleado",2,"Asfalto",0,100,"Buen clima"
"575089",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Niebla"
"575114",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"575162",55,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Buen clima"
"575164",35,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,50,"Lluvia ligera"
"575168",45,"Accidente sin lesiones",0,"No festivo","Amanecer o atardecer",0,"Asfalto",0,100,"Buen clima"
"575222",55,"Accidente fatal",1,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"575224",65,"Accidente grave",0,"No festivo","Soleado",0,"Asfalto",1,100,"Buen clima"
"575265",75,"Accidente grave",0,"Navidad y Año Nuevo","Nublado",1,"Asfalto",1,100,"Lluvia ligera"
"575275",35,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"575287",55,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,80,"Lluvia ligera"
"575325",35,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"575345",45,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"575352",35,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Lluvia ligera"
"575355",35,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,70,"Lluvia ligera"
"575373",95,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"575384",65,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,80,"Buen clima"
"575449",35,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,50,"Buen clima"
"575456",65,"Accidente leve",0,"Navidad y Año Nuevo","Soleado",1,"Asfalto",0,100,"Buen clima"
"575465",65,"Accidente leve",0,"No festivo","Soleado",3,"Asfalto",0,100,"Buen clima"
"575467",85,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,90,"Buen clima"
"575469",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"575483",55,"Accidente sin lesiones",0,"Navidad y Año Nuevo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"575593",45,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"575612",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,80,"Lluvia ligera"
"575640",35,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,50,"Buen clima"
"575659",75,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"575664",25,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,50,"Buen clima"
"575689",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"575737",45,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,70,"Buen clima"
"575788",55,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"575816",45,"Accidente grave",0,"No festivo","Oscuro",0,"Asfalto",1,100,"Buen clima"
"575874",65,"Accidente leve",0,"Fin de semana del Trabajo","Nublado",4,"Asfalto",0,100,"Buen clima"
"575879",55,"Accidente grave",0,"No festivo","Nublado",0,"Asfalto",1,80,"Lluvia intensa"
"575892",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"575903",45,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,50,"Lluvia ligera"
"575933",35,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,80,"Lluvia ligera"
"575956",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"575966",65,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"575967",75,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"575970",65,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"575974",45,"Accidente grave",0,"No festivo","Oscuro",1,"Asfalto",1,100,"Lluvia ligera"
"575979",35,"Accidente grave",0,"No festivo","Soleado",0,"Asfalto",1,80,"Buen clima"
"576018",35,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"576056",65,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"576074",85,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Lluvia ligera"
"576127",35,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"576133",55,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"576140",45,"Accidente leve",0,"No festivo","Amanecer o atardecer",1,"Asfalto",0,50,"Lluvia intensa"
"576146",45,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"576249",75,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"576262",65,"Accidente fatal",1,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia intensa"
"576310",45,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"576353",75,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"576411",75,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia intensa"
"576424",75,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"576472",65,"Accidente grave",0,"No festivo","Nublado",0,"Asfalto",1,100,"Lluvia ligera"
"576535",55,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"576538",45,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,80,"Buen clima"
"576567",85,"Accidente fatal",1,"No festivo","Soleado",2,"Asfalto",0,100,"Buen clima"
"576584",25,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,50,"Buen clima"
"576602",65,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"576617",90,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Buen clima"
"576649",65,"Accidente leve",0,"No festivo","Amanecer o atardecer",1,"Asfalto",0,80,"Lluvia ligera"
"576655",75,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"576690",35,"Accidente grave",0,"No festivo","Soleado",1,"Asfalto",1,80,"Buen clima"
"576703",25,"Accidente grave",0,"No festivo","Nublado",0,"Asfalto",1,100,"Lluvia ligera"
"576712",45,"Accidente grave",0,"No festivo","Oscuro",1,"Asfalto",1,100,"Niebla"
"576718",75,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"576747",35,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"576786",45,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Lluvia ligera"
"576788",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"576791",45,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,50,"Buen clima"
"576794",55,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Sin Asfalto",0,100,"Buen clima"
"576799",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Niebla"
"576805",65,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Buen clima"
"576810",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"576843",45,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"576848",35,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"576853",75,"Accidente grave",0,"No festivo","Nublado",0,"Asfalto",1,100,"Buen clima"
"576862",35,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"576868",65,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"576874",75,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"576893",45,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,60,"Buen clima"
"576963",65,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Lluvia ligera"
"576974",35,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"576988",55,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"577005",55,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,80,"Buen clima"
"577012",35,"Accidente leve",0,"No festivo","Soleado",2,"Asfalto",0,50,"Buen clima"
"577054",35,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,80,"Niebla"
"577055",65,"Accidente sin lesiones",0,"No festivo","Amanecer o atardecer",0,"Asfalto",0,100,"Niebla"
"577057",45,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"577088",45,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"577122",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"577160",95,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"577173",55,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"577199",35,"Accidente sin lesiones",0,"Navidad y Año Nuevo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"577205",25,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"577225",55,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,80,"Lluvia ligera"
"577244",45,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,50,"Lluvia ligera"
"577311",35,"Accidente leve",0,"Navidad y Año Nuevo","Oscuro",1,"Asfalto",0,50,"Buen clima"
"577318",35,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,50,"Buen clima"
"577383",35,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,80,"Buen clima"
"577384",45,"Accidente grave",0,"No festivo","Soleado",0,"Asfalto",1,100,"Buen clima"
"577402",35,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,80,"Lluvia ligera"
"577439",45,"Accidente sin lesiones",0,"No festivo","Amanecer o atardecer",0,"Asfalto",0,50,"Buen clima"
"577507",75,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"577511",65,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"577546",65,"Accidente sin lesiones",0,"Navidad y Año Nuevo","Soleado",0,"Asfalto",0,100,"Buen clima"
"577553",35,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,50,"Buen clima"
"577587",65,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Lluvia intensa"
"577611",35,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"577624",65,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"577637",35,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"577699",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia intensa"
"577706",55,"Accidente grave",0,"No festivo","Nublado",1,"Asfalto",1,100,"Buen clima"
"577712",45,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"577760",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,80,"Lluvia ligera"
"577766",85,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Buen clima"
"577772",55,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"577788",75,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"577801",20,"Accidente sin lesiones",0,"No festivo","Amanecer o atardecer",0,"Sin Asfalto",0,50,"Buen clima"
